Reef,Depth,Month,Survey,CoralCover
4,1,0,1,66.17806732
4,1,0,2,48.07395994
4,2,0,1,57.1774682
4,2,0,2,38.43379701
13,1,0,1,77.16610819
13,1,0,2,71.17117117
13,2,0,1,80.51282051
13,2,0,2,91.25382263
4,1,1.5,1,56.8401937
4,1,1.5,2,51.96850394
4,2,1.5,1,40.13801035
4,2,1.5,2,33.80503145
13,1,1.5,1,91.44818976
13,1,1.5,2,75.30152071
13,2,1.5,1,87.0401811
13,2,1.5,2,78.84737175
4,1,4.5,1,55.76441103
4,1,4.5,2,48.85057471
4,2,4.5,1,43.81669805
4,2,4.5,2,48.63013699
13,1,4.5,1,92.09401709
13,1,4.5,2,82.7174531
13,2,4.5,1,94.42970822
13,2,4.5,2,92.49617152
4,1,10,1,44.92521368
4,1,10,2,42.61672096
4,2,10,1,23.60379347
4,2,10,2,42.35854045
13,1,10,1,86.05967078
13,1,10,2,66.42619312
13,2,10,1,96.60931174
13,2,10,2,88.63168724
4,1,18,1,47.84431138
4,1,18,2,50.92348285
4,2,18,1,28.13141684
4,2,18,2,26.14503817
13,1,19,1,97.48559455
13,1,19,2,84.57478006
13,2,19,1,99.11871436
13,2,19,2,88.37744534
