TagID,Pair,Species,Site,B2015,Month0,Month1.5,Month3,Month4.5,Month6,Month10,Month18,Month24
W0068,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,
W0069,NA,Montipora capitata,4,N,2,3,3,,,,,
W0070,NA,Montipora capitata,4,N,2,,3,2,,,,
W0071,NA,Montipora capitata,4,N,2,3,3,3,2,3,2,3
W0072,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0102,101_102,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0104,103_104,Montipora capitata,4,N,3,3,3,3,3,3,,
W0106,105_106,Montipora capitata,4,N,3,3,3,3,3,2,,
W0108,107_108,Montipora capitata,4,N,3,3,,3,3,,,
W0110,109_110,Montipora capitata,4,N,2,3,3,3,3,3,2,2
W0112,111_112,Montipora capitata,4,N,2,3,3,3,3,,,
W0114,113_114,Montipora capitata,4,N,2,3,3,3,,2,,
W0116,115_116,Montipora capitata,4,N,3,3,3,3,,3,,
W0118,117_118,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0120,119_120,Montipora capitata,4,N,3,3,3,3,,3,,
W0121,NA,Montipora capitata,4,N,3,3,3,3,3,3,2,2
W0122,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0123,NA,Montipora capitata,4,N,2,3,3,3,2,,,
W0124,NA,Montipora capitata,4,N,2,3,3,,3,3,3,3
W0125,NA,Montipora capitata,4,N,2,3,3,3,3,2,2,
W0161,NA,Montipora capitata,4,N,3,3,3,3,3,2,0,0
W0162,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0163,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0164,NA,Montipora capitata,4,N,2,3,2,2,2,2,3,3
W0165,NA,Montipora capitata,4,N,3,3,,,,,,
W0166,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0167,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0168,NA,Montipora capitata,4,N,3,3,3,2,2,,3,3
W0169,NA,Montipora capitata,4,N,3,3,3,3,3,3,3,3
W0170,NA,Montipora capitata,4,N,3,3,3,3,3,3,,
W0251,NA,Montipora capitata,4,N,2,2,2,,2,2,2,2
W0252,NA,Montipora capitata,4,N,3,3,3,,3,,,
W0254,253_254,Montipora capitata,4,N,3,3,3,3,3,,,
W0256,255_256,Montipora capitata,4,N,3,2,3,3,3,,,
W0258,257_258,Montipora capitata,4,N,2,3,3,2,3,,,
W0260,259_260,Montipora capitata,4,N,3,3,2,2,2,3,,
W0262,261_262,Montipora capitata,4,N,3,3,3,3,3,,,
W0264,263_264,Montipora capitata,4,N,3,3,3,3,3,3,,3
W0266,265_266,Montipora capitata,4,N,3,2,2,2,2,2,3,3
W0268,267_268,Montipora capitata,4,N,3,3,2,2,2,2,,
W0270,269_270,Montipora capitata,4,N,3,3,3,3,2,,,
W0272,271_272,Montipora capitata,4,N,3,3,3,3,3,,,
W0274,273_274,Montipora capitata,4,N,3,3,3,2,3,,3,
W0101,101_102,Montipora capitata,4,Y,1,1,3,3,3,3,,3
W0103,103_104,Montipora capitata,4,Y,1,2,3,3,3,3,3,
W0105,105_106,Montipora capitata,4,Y,1,2,2,1,2,2,,
W0107,107_108,Montipora capitata,4,Y,1,3,,3,3,,,3
W0109,109_110,Montipora capitata,4,Y,1,1,2,2,2,2,2,3
W0111,111_112,Montipora capitata,4,Y,1,2,2,3,,,,
W0113,113_114,Montipora capitata,4,Y,1,,,,,,,
W0115,115_116,Montipora capitata,4,Y,1,2,2,2,2,2,2,
W0117,117_118,Montipora capitata,4,Y,1,2,2,2,3,3,,2
W0119,119_120,Montipora capitata,4,Y,1,1,2,2,3,2,2,
W0253,253_254,Montipora capitata,4,Y,1,1,2,2,2,2,,
W0255,255_256,Montipora capitata,4,Y,1,1,,,,,,
