Date,,,IB,OB
9/24/15,6:00,18:00,27.804,28.147
9/24/15,6:15,18:15,27.706,28.097
9/24/15,6:30,18:30,27.657,28.023
9/24/15,6:45,18:45,27.583,27.974
9/24/15,7:00,19:00,27.557,27.924
9/24/15,7:15,19:15,27.533,27.875
9/24/15,7:30,19:30,27.533,27.85
9/24/15,7:45,19:45,27.483,27.825
9/24/15,8:00,20:00,27.483,27.801
9/24/15,8:15,20:15,27.459,27.801
9/24/15,8:30,20:30,27.533,27.776
9/24/15,8:45,20:45,27.557,27.776
9/24/15,9:00,21:00,27.557,27.751
9/24/15,9:15,21:15,27.557,27.727
9/24/15,9:30,21:30,27.533,27.702
9/24/15,9:45,21:45,27.533,27.677
9/24/15,10:00,22:00,27.483,27.653
9/24/15,10:15,22:15,27.706,27.628
9/24/15,10:30,22:30,27.41,27.628
9/24/15,10:45,22:45,27.829,27.653
9/24/15,11:00,23:00,28.077,27.677
9/24/15,11:15,23:15,28.177,27.702
9/24/15,11:30,23:30,28.177,27.702
9/24/15,11:45,23:45,28.177,27.702
9/25/15,12:00,0:00,28.151,27.677
9/25/15,12:15,0:15,27.879,27.677
9/25/15,12:30,0:30,27.829,27.653
9/25/15,12:45,0:45,27.78,27.653
9/25/15,1:00,1:00,27.904,27.628
9/25/15,1:15,1:15,28.052,27.604
9/25/15,1:30,1:30,28.077,27.604
9/25/15,1:45,1:45,28.102,27.604
9/25/15,2:00,2:00,28.126,27.604
9/25/15,2:15,2:15,27.929,27.604
9/25/15,2:30,2:30,27.929,27.579
9/25/15,2:45,2:45,27.632,27.579
9/25/15,3:00,3:00,27.854,27.579
9/25/15,3:15,3:15,27.73,27.53
9/25/15,3:30,3:30,27.286,27.481
9/25/15,3:45,3:45,27.311,27.431
9/25/15,4:00,4:00,27.286,27.382
9/25/15,4:15,4:15,27.286,27.358
9/25/15,4:30,4:30,27.261,27.308
9/25/15,4:45,4:45,27.237,27.308
9/25/15,5:00,5:00,27.187,27.284
9/25/15,5:15,5:15,27.163,27.284
9/25/15,5:30,5:30,27.163,27.284
9/25/15,5:45,5:45,27.138,27.284
9/25/15,6:00,6:00,27.114,27.308
9/25/15,6:15,6:15,27.114,27.308
9/25/15,6:30,6:30,27.089,27.308
9/25/15,6:45,6:45,27.114,27.333
9/25/15,7:00,7:00,27.089,27.333
9/25/15,7:15,7:15,27.016,27.358
9/25/15,7:30,7:30,26.941,27.382
9/25/15,7:45,7:45,26.917,27.382
9/25/15,8:00,8:00,26.941,27.382
9/25/15,8:15,8:15,27.138,27.407
9/25/15,8:30,8:30,27.237,27.407
9/25/15,8:45,8:45,27.311,27.481
9/25/15,9:00,9:00,27.311,27.481
9/25/15,9:15,9:15,27.237,27.456
9/25/15,9:30,9:30,27.311,27.505
9/25/15,9:45,9:45,27.336,27.53
9/25/15,10:00,10:00,27.508,27.53
9/25/15,10:15,10:15,27.755,27.554
9/25/15,10:30,10:30,27.879,27.628
9/25/15,10:45,10:45,27.929,27.653
9/25/15,11:00,11:00,27.978,27.702
9/25/15,11:15,11:15,27.978,27.702
9/25/15,11:30,11:30,28.052,27.653
9/25/15,11:45,11:45,28.052,27.702
9/25/15,12:00,12:00,28.077,27.727
9/25/15,12:15,12:15,28.077,27.727
9/25/15,12:30,12:30,27.978,27.751
9/25/15,12:45,12:45,27.978,27.801
9/25/15,1:00,13:00,27.953,27.727
9/25/15,1:15,13:15,27.953,27.727
9/25/15,1:30,13:30,27.929,27.825
9/25/15,1:45,13:45,27.978,27.85
9/25/15,2:00,14:00,28.028,27.825
9/25/15,2:15,14:15,28.052,27.776
9/25/15,2:30,14:30,28.052,27.924
9/25/15,2:45,14:45,28.077,27.924
9/25/15,3:00,15:00,28.052,27.998
9/25/15,3:15,15:15,28.028,27.924
9/25/15,3:30,15:30,27.879,27.924
9/25/15,3:45,15:45,27.904,27.924
9/25/15,4:00,16:00,27.904,27.899
9/25/15,4:15,16:15,27.829,27.899
9/25/15,4:30,16:30,27.804,27.825
9/25/15,4:45,16:45,27.804,27.801
9/25/15,5:00,17:00,27.78,27.751
9/25/15,5:15,17:15,27.657,27.727
9/25/15,5:30,17:30,27.583,27.702
9/25/15,5:45,17:45,27.557,27.677
9/25/15,6:00,18:00,27.533,27.628
9/25/15,6:15,18:15,27.483,27.604
9/25/15,6:30,18:30,27.434,27.53
9/25/15,6:45,18:45,27.41,27.505
9/25/15,7:00,19:00,27.434,27.481
9/25/15,7:15,19:15,27.385,27.456
9/25/15,7:30,19:30,27.36,27.431
9/25/15,7:45,19:45,27.336,27.431
9/25/15,8:00,20:00,27.286,27.407
9/25/15,8:15,20:15,27.286,27.382
9/25/15,8:30,20:30,27.237,27.382
9/25/15,8:45,20:45,27.237,27.382
9/25/15,9:00,21:00,27.261,27.358
9/25/15,9:15,21:15,27.286,27.358
9/25/15,9:30,21:30,27.237,27.358
9/25/15,9:45,21:45,27.36,27.358
9/25/15,10:00,22:00,27.706,27.382
9/25/15,10:15,22:15,27.632,27.358
9/25/15,10:30,22:30,27.681,27.333
9/25/15,10:45,22:45,27.854,27.284
9/25/15,11:00,23:00,27.829,27.259
9/25/15,11:15,23:15,27.78,27.235
9/25/15,11:30,23:30,27.681,27.235
9/25/15,11:45,23:45,27.583,27.21
9/26/15,12:00,0:00,27.483,27.21
9/26/15,12:15,0:15,27.41,27.186
9/26/15,12:30,0:30,27.385,27.161
9/26/15,12:45,0:45,27.336,27.161
9/26/15,1:00,1:00,27.385,27.136
9/26/15,1:15,1:15,27.336,27.136
9/26/15,1:30,1:30,27.311,27.136
9/26/15,1:45,1:45,27.459,27.136
9/26/15,2:00,2:00,27.533,27.136
9/26/15,2:15,2:15,27.508,27.161
9/26/15,2:30,2:30,27.385,27.136
9/26/15,2:45,2:45,27.36,27.136
9/26/15,3:00,3:00,27.336,27.112
9/26/15,3:15,3:15,27.385,27.136
9/26/15,3:30,3:30,27.336,27.136
9/26/15,3:45,3:45,27.336,27.161
9/26/15,4:00,4:00,27.286,27.161
9/26/15,4:15,4:15,27.286,27.161
9/26/15,4:30,4:30,27.286,27.161
9/26/15,4:45,4:45,27.237,27.161
9/26/15,5:00,5:00,27.237,27.161
9/26/15,5:15,5:15,27.212,27.161
9/26/15,5:30,5:30,27.187,27.161
9/26/15,5:45,5:45,27.065,27.161
9/26/15,6:00,6:00,27.016,27.136
9/26/15,6:15,6:15,26.966,27.136
9/26/15,6:30,6:30,26.99,27.136
